N	Result	EstimatedError	ActualError
100	3.12	0.165698521417664	0.021592653589793
1000	3.108	0.0526529771238056	0.033592653589793
10000	3.1584	0.0163037095165487	0.0168073464102068
100000	3.13972	0.00519715145209373	0.00187265358979305
1000000	3.141932	0.00164194741309702	0.000339346410207053
