# z	Interpolated	Integral	ExactCos	ExactIntegral
0	1	NaN	1	0
0.1	0.954030230586814	0.0977015115293407	0.995004165278026	0.0998334166468282
0.2	0.908060461173628	0.190806046117363	0.980066577841242	0.198669330795061
0.3	0.862090691760442	0.279313603764066	0.955336489125606	0.29552020666134
0.4	0.816120922347256	0.363224184469451	0.921060994002885	0.389418342308651
0.5	0.77015115293407	0.442537788233517	0.877582561890373	0.479425538604203
0.6	0.724181383520884	0.517254415056265	0.825335614909678	0.564642473395035
0.7	0.678211614107698	0.587374064937694	0.764842187284488	0.644217687237691
0.8	0.632241844694512	0.652896737877805	0.696706709347165	0.717356090899523
0.9	0.586272075281326	0.713822433876597	0.621609968270665	0.783326909627483
1	0.54030230586814	0.77015115293407	0.54030230586814	0.841470984807896
1.1	0.444657391626612	0.819399137808807	0.453596121425577	0.891207360061435
1.2	0.349012477385083	0.859082631259392	0.362357754476674	0.932039085967226
1.3	0.253367563143555	0.889201633285824	0.267498828624587	0.963558185417193
1.4	0.157722648902027	0.909756143888103	0.169967142900241	0.98544972998846
1.5	0.0620777346604985	0.920746163066229	0.0707372016677027	0.997494986604054
1.6	-0.0335671795810298	0.922171690820203	-0.029199522301289	0.999573603041505
1.7	-0.129212093822558	0.914032727150024	-0.128844494295525	0.991664810452469
1.8	-0.224857008064086	0.896329272055691	-0.227202094693088	0.973847630878195
1.9	-0.320501922305615	0.869061325537206	-0.323289566863504	0.946300087687414
2	-0.416146836547143	0.832228887594568	-0.416146836547143	0.909297426825681
2.1	-0.473531402552473	0.787744975639588	-0.504846104599858	0.863209366648873
2.2	-0.530915968557803	0.737522607084074	-0.588501117255346	0.80849640381959
2.3	-0.588300534563134	0.681561781928027	-0.666276021279825	0.74570521217672
2.4	-0.645685100568464	0.619862500171447	-0.737393715541246	0.67546318055115
2.5	-0.703069666573794	0.552424761814334	-0.801143615546934	0.598472144103956
2.6	-0.760454232579125	0.479248566856688	-0.856888753368948	0.515501371821463
2.7	-0.817838798584455	0.400333915298509	-0.904072142017062	0.427379880233829
2.8	-0.875223364589786	0.315680807139797	-0.942222340668659	0.334988150155904
2.9	-0.932607930595116	0.225289242380551	-0.970958165149591	0.239249329213981
3	-0.989992496600445	0.129159221020773	-0.989992496600446	0.141120008059866
3.1	-0.956357609026762	0.031841715739413	-0.999135150273279	0.0415806624332892
3.2	-0.922722721453078	-0.0621123007845791	-0.998294775794753	-0.0583741434275814
3.3	-0.889087833879395	-0.152702828551203	-0.987479769908865	-0.15774569414325
3.4	-0.855452946305711	-0.239929867560458	-0.966798192579461	-0.255541102026833
3.5	-0.821818058732028	-0.323793417812345	-0.936456687290796	-0.350783227689622
3.6	-0.788183171158345	-0.404293479306864	-0.896758416334146	-0.442520443294854
3.7	-0.754548283584661	-0.481430052044014	-0.848100031710407	-0.529836140908495
3.8	-0.720913396010978	-0.555203136023796	-0.790967711914416	-0.611857890942721
3.9	-0.687278508437295	-0.62561273124621	-0.725932304200139	-0.687766159183975
4	-0.65364362086361	-0.692658837711255	-0.653643620863611	-0.756802495307929
4.1	-0.559913040230927	-0.753336670765982	-0.574823946533268	-0.818277111064411
4.2	-0.466182459598243	-0.80464144575744	-0.490260821340699	-0.871575772413589
4.3	-0.37245187896556	-0.84657316268563	-0.400799172079975	-0.916165936749455
4.4	-0.278721298332876	-0.879131821550552	-0.307332869978419	-0.951602073889516
4.5	-0.184990717700193	-0.902317422352205	-0.21079579943078	-0.977530117665097
4.6	-0.0912601370675094	-0.91612996509059	-0.112152526935055	-0.993691003633464
4.7	0.00247044356517412	-0.920569449765707	-0.0123886634628914	-0.999923257564101
4.8	0.0962010241978577	-0.915635876377555	0.0874989834394455	-0.996164608835841
4.9	0.189931604830541	-0.901329244926136	0.186512369422574	-0.982452612624333
5	0.283662185463225	-0.877649555411447	0.283662185463225	-0.958924274663139
5.1	0.351312995581939	-0.845900796359189	0.377977742712979	-0.925814682327733
5.2	0.418963805700653	-0.80738695629506	0.468516671300375	-0.883454655720154
5.3	0.486614615819366	-0.762108035219059	0.554374336179159	-0.832267442223903
5.4	0.55426542593808	-0.710064033131187	0.634692875942632	-0.772764487555989
5.5	0.621916236056794	-0.651254950031444	0.708669774291258	-0.705540325570394
5.6	0.689567046175507	-0.585680785919829	0.775565878510247	-0.631266637872324
5.7	0.757217856294221	-0.513341540796343	0.834712784839157	-0.550685542597641
5.8	0.824868666412935	-0.434237214660985	0.885519516941317	-0.464602179413761
5.9	0.892519476531649	-0.348367807513756	0.927478430744034	-0.373876664830241
5.99999999999999	0.960170286650362	-0.255733319354656	0.960170286650365	-0.279415498198931
6.09999999999999	0.939543483419661	-0.160747630851155	0.983268438442584	-0.182162504272101
6.19999999999999	0.918916680188955	-0.0678246226707244	0.996542097023217	-0.0830894028175026
6.29999999999999	0.898289876958249	0.0230357051866354	0.999858636383415	0.0168139004843435
6.39999999999999	0.877663073727543	0.111833352720925	0.993184918758193	0.116549204850487
6.49999999999999	0.857036270496837	0.198568319932143	0.976587625728025	0.215119988087809
6.59999999999999	0.836409467266131	0.283240606820291	0.950232591958532	0.311541363513371
6.69999999999999	0.815782664035425	0.365850213385369	0.914383148235323	0.404849920616591
6.79999999999999	0.795155860804719	0.446397139627376	0.869397490349829	0.494113351138601
6.89999999999999	0.774529057574012	0.524881385546312	0.815725100125362	0.578439764388193
6.99999999999999	0.753902254343306	0.601302951142178	0.75390225434331	0.656986598718782
7.09999999999999	0.663962025528121	0.672196165135749	0.684546666442813	0.72896904012587
7.19999999999999	0.57402179671293	0.734095356247802	0.608351314532262	0.793667863849147
7.29999999999999	0.484081567897738	0.787000524478335	0.526077517381114	0.850436620628559
7.39999999999999	0.394141339082547	0.830911669827349	0.4385473275744	0.898708095811622
7.49999999999999	0.304201110267355	0.865828792294844	0.346635317835036	0.937999976774735
7.59999999999999	0.214260881452164	0.89175189188082	0.251259842582266	0.967919672031484
7.69999999999999	0.124320652636972	0.908680968585276	0.153373862037876	0.988168233876999
7.79999999999999	0.0343804238217806	0.916616022408214	0.0539554205626613	0.998543345374604
7.89999999999999	-0.0555598049934108	0.915557053349632	-0.0460021256395245	0.998941341839773
7.99999999999999	-0.145500033808602	0.905504061409532	-0.145500033808601	0.989358246623384
8.09999999999999	-0.22206305661621	0.887125906888291	-0.243544153735779	0.969889810845089
8.19999999999999	-0.298626079423816	0.86109145008629	-0.339154860983823	0.940730556679777
8.29999999999999	-0.375189102231422	0.827400691003528	-0.431376844970608	0.9021718337563
8.39999999999999	-0.451752125039028	0.786053629640006	-0.519288654116673	0.854598908088288
8.49999999999999	-0.528315147846634	0.737050265995723	-0.602011902684812	0.798487112623499
8.59999999999999	-0.60487817065424	0.680390600070679	-0.678720047320002	0.734397097874123
8.69999999999999	-0.681441193461847	0.616074631864875	-0.748646645597389	0.662969230082194
8.79999999999998	-0.758004216269453	0.54410236137831	-0.811093014061647	0.584917192891775
8.89999999999998	-0.834567239077059	0.464473788610985	-0.865435209241104	0.501020856457899
8.99999999999998	-0.911130261884665	0.377188913562899	-0.91113026188467	0.412118485241771
