# z	Spline	Integral	ExactSin	ExactIntegral
0	0	0	0	0
0.1	0.0766261717549824	0.00381738094566429	0.0998334166468282	0.00499583472197418
0.2	0.154923660560144	0.0153809449193358	0.198669330795061	0.0199334221587584
0.3	0.234892466415485	0.0348578236260325	0.29552020666134	0.044663510874394
0.4	0.316532589321006	0.0624151487707722	0.389418342308651	0.0789390059971149
0.5	0.399844029276706	0.098220052058573	0.479425538604203	0.122417438109627
0.6	0.484826786282585	0.142439665194453	0.564642473395035	0.174664385090322
0.7	0.571480860338644	0.195241119883429	0.644217687237691	0.235157812715512
0.8	0.659806251444882	0.256791547830521	0.717356090899523	0.303293290652835
0.9	0.7498029596013	0.327258080740745	0.783326909627483	0.378390031729335
1	0.841470984807896	0.40680785031912	0.841470984807896	0.45969769413186
1.1	0.925402564586592	0.495294396188061	0.891207360061435	0.546403878574423
1.2	0.992189936459306	0.591316889639572	0.932039085967226	0.637642245523326
1.3	1.04183310042604	0.693160909883056	0.963558185417193	0.732501171375413
1.4	1.07433205648679	0.799112036127914	0.98544972998846	0.830032857099759
1.5	1.08968680464156	0.907455847583548	0.997494986604054	0.929262798332297
1.6	1.08789734489035	1.01647792345936	0.999573603041505	1.02919952230129
1.7	1.06896367723315	1.12446384296475	0.991664810452469	1.12884449429553
1.8	1.03288580166998	1.22969918530913	0.973847630878195	1.22720209469309
1.9	0.97966371820082	1.33046952970188	0.946300087687414	1.3232895668635
2	0.909297426825681	1.42506045535242	0.909297426825681	1.41614683654714
2.1	0.830571096842707	1.51205034711342	0.863209366648873	1.50484610459986
2.2	0.752268897550041	1.59118881241064	0.80849640381959	1.58850111725535
2.3	0.674390828947686	1.66251826431311	0.74570521217672	1.66627602127982
2.4	0.59693689103564	1.72608111588986	0.67546318055115	1.73739371554125
2.5	0.519907083813904	1.78191978020991	0.598472144103956	1.80114361554693
2.6	0.443301407282477	1.83007667034231	0.515501371821463	1.85688875336895
2.7	0.36711986144136	1.87059419935609	0.427379880233829	1.90407214201706
2.8	0.291362446290552	1.90351478032026	0.334988150155904	1.94222234066866
2.9	0.216029161830054	1.92888082630387	0.239249329213981	1.97095816514959
3	0.141120008059866	1.94673475037595	0.141120008059866	1.98999249660045
3.1	0.0649134034436581	1.95706157955431	0.0415806624332892	1.99913515027328
3.2	-0.0143122335548992	1.95961679665194	-0.0583741434275814	1.99829477579475
3.3	-0.0965569029358058	1.95409849843059	-0.15774569414325	1.98747976990886
3.4	-0.181820604699062	1.94020478165203	-0.255541102026833	1.96679819257946
3.5	-0.270103338844667	1.91763374307803	-0.350783227689622	1.9364566872908
3.6	-0.361405105372621	1.88608347947035	-0.442520443294854	1.89675841633415
3.7	-0.455725904282924	1.84525208759076	-0.529836140908495	1.84810003171041
3.8	-0.553065735575577	1.79483766420102	-0.611857890942721	1.79096771191442
3.9	-0.653424599250579	1.7345383060629	-0.687766159183975	1.72593230420014
4	-0.75680249530793	1.66405210993816	-0.756802495307929	1.65364362086361
4.1	-0.853222384125155	1.58340974057599	-0.818277111064411	1.57482394653327
4.2	-0.932707226079779	1.49397213467522	-0.871575772413589	1.4902608213407
4.3	-0.995257021171801	1.39743279692212	-0.916165936749455	1.40079917207997
4.4	-1.04087176940122	1.29548523200295	-0.951602073889516	1.30733286997842
4.5	-1.06955147076805	1.18982294460396	-0.977530117665097	1.21079579943078
4.6	-1.08129612527227	1.08213943941142	-0.993691003633464	1.11215252693505
4.7	-1.07610573291389	0.974128221111595	-0.999923257564101	1.01238866346289
4.8	-1.0539802936929	0.867482794390735	-0.996164608835841	0.912501016560554
4.9	-1.01491980760932	0.763896663935102	-0.982452612624333	0.813487630577426
5	-0.95892427466314	0.665063334430957	-0.958924274663139	0.716337814536775
5.1	-0.894112436158762	0.572405685854414	-0.925814682327733	0.622022257287021
5.2	-0.828603033400598	0.486264099340999	-0.883454655720154	0.531483328699625
5.3	-0.762396066388646	0.406708331316088	-0.832267442223903	0.445625663820841
5.4	-0.695491535122906	0.333808138205063	-0.772764487555989	0.365307124057368
5.5	-0.627889439603379	0.267633276433301	-0.705540325570394	0.291330225708742
5.6	-0.559589779830064	0.208253502426181	-0.631266637872324	0.224434121489753
5.7	-0.490592555802962	0.155738572609081	-0.550685542597641	0.165287215160843
5.8	-0.420897767522072	0.110158243407381	-0.464602179413761	0.114480483058683
5.9	-0.350505414987395	0.0715822712464602	-0.373876664830241	0.0725215692559661
5.99999999999999	-0.27941549819893	0.0400804125516958	-0.279415498198931	0.0398297133496355
6.09999999999999	-0.20575664820593	0.0157848027134922	-0.182162504272101	0.0167315615574164
6.19999999999999	-0.127657496057648	-0.00092290701764737	-0.0830894028175026	0.00345790297678306
6.29999999999999	-0.0451180417540834	-0.00959868642619459	0.0168139004843435	0.000141363616584789
6.39999999999999	0.0418617147047637	-0.00979850529662127	0.116549204850487	0.00681508124180652
6.49999999999999	0.133281773318893	-0.00107833341339911	0.215119988087809	0.023412374271975
6.59999999999999	0.229142134088305	0.0170058594390001	0.311541363513371	0.0497674080414682
6.69999999999999	0.329442797013	0.0448981034761045	0.404849920616591	0.0856168517646774
6.79999999999999	0.434183762092977	0.0830424289134426	0.494113351138601	0.130602509650171
6.89999999999999	0.543365029328237	0.131882865966542	0.578439764388193	0.184274899874638
